canonical_UniProtAC	condensate_id	condensate_name	condensate_type
O43242	232F8A39	P-body	biomolecular
Q14699	232F8A39	P-body	biomolecular
Q02878	232F8A39	P-body	biomolecular
Q9Y230	232F8A39	P-body	biomolecular
Q00325	232F8A39	P-body	biomolecular
P42224	232F8A39	P-body	biomolecular
P23381	232F8A39	P-body	biomolecular
P62081	232F8A39	P-body	biomolecular
Q9H0J9	232F8A39	P-body	biomolecular
Q04637	3190BB68	inclusion body-associated granule (IBAG)	infectious
Q9HBD1	232F8A39	P-body	biomolecular
Q96PU8	232F8A39	P-body	biomolecular
Q8NDV7	278829DE	Chromatoid body	biomolecular
Q8N7H5	38EC0B30	Transcriptional condensate	biomolecular
O60563	38EC0B30	Transcriptional condensate	biomolecular
P24928	38EC0B30	Transcriptional condensate	biomolecular
O95602	6F24707C	Cajal body	biomolecular
O75439	5965E019	mtRNA granule	biomolecular
Q5JVS0	6F24707C	Cajal body	biomolecular
P22087	6F24707C	Cajal body	biomolecular
Q9BUR4	6F24707C	Cajal body	biomolecular
Q9Y2F5	6F24707C	Cajal body	biomolecular
P54727	4F6C34C9	senescence-associated nuclear proteasome foci	biomolecular
Q8WWY3	6F24707C	Cajal body	biomolecular
P49721	550E224B	Proteasome condensate	biomolecular
P49406	5965E019	mtRNA granule	biomolecular
Q00059	5965E019	mtRNA granule	biomolecular
O75525	62EA6512	Sam68 nuclear body	biomolecular
Q07666	462A97B5	Leucocyte nuclear body	biomolecular
P03372	462A97B5	Leucocyte nuclear body	biomolecular
P40337	6A1B29D1	A-bodies	biomolecular
O00571	91857CE7	Nucleolus	biomolecular
Q96BT1	91857CE7	Nucleolus	biomolecular
O15446	91857CE7	Nucleolus	biomolecular
P55209	91857CE7	Nucleolus	biomolecular
Q5UE93	91857CE7	Nucleolus	biomolecular
P38646	91857CE7	Nucleolus	biomolecular
O95336	91857CE7	Nucleolus	biomolecular
O75340	91857CE7	Nucleolus	biomolecular
Q15717	91857CE7	Nucleolus	biomolecular
O00541	91857CE7	Nucleolus	biomolecular
P53999	91857CE7	Nucleolus	biomolecular
P61201	91857CE7	Nucleolus	biomolecular
P13984	91857CE7	Nucleolus	biomolecular
Q8N8A6	91857CE7	Nucleolus	biomolecular
P28066	91857CE7	Nucleolus	biomolecular
Q00526	91857CE7	Nucleolus	biomolecular
Q99986	91857CE7	Nucleolus	biomolecular
Q7LBC6	91857CE7	Nucleolus	biomolecular
Q01469	91857CE7	Nucleolus	biomolecular
P78371	91857CE7	Nucleolus	biomolecular
Q9UBQ5	91857CE7	Nucleolus	biomolecular
O75155	91857CE7	Nucleolus	biomolecular
Q969K3	91857CE7	Nucleolus	biomolecular
P39656	91857CE7	Nucleolus	biomolecular
Q14088	91857CE7	Nucleolus	biomolecular
O14979	91857CE7	Nucleolus	biomolecular
P49450	91857CE7	Nucleolus	biomolecular
