side	distance_aa	count_within_distance	total_on_side	fraction_within_distance	expected_count_within_distance	expected_total_site_weighted	expected_fraction_within_distance	obs_minus_expected_fraction
C	12	190	2421	0.07847996695580339	194.73064051231293	2421	0.08043396964573025	-0.001954002689926862
C	13	204	2421	0.08426270136307311	209.86250300470684	2421	0.08668422263721885	-0.0024215212741457437
C	14	227	2421	0.09376290788930194	234.55403321362817	2421	0.09688311987345237	-0.0031202119841504256
C	15	243	2421	0.10037174721189591	252.66410063630138	2421	0.10436352773081428	-0.003991780518918367
C	16	261	2421	0.10780669144981413	272.53207298663256	2421	0.11257004253888168	-0.004763351089067558
C	17	280	2421	0.11565468814539447	291.5800885261852	2421	0.1204378721710802	-0.004783184025685741
C	18	289	2421	0.11937216026435357	303.50512619083	2421	0.12536353828617514	-0.005991378021821564
C	19	299	2421	0.1235026848409748	315.0053991951403	2421	0.13011375431439087	-0.006611069473416067
C	20	318	2421	0.13135068153655513	334.47029464097466	2421	0.13815377721642902	-0.006803095679873888
C	21	327	2421	0.13506815365551425	347.91910992902507	2421	0.14370884342380216	-0.008640689768287912
C	22	342	2421	0.1412639405204461	365.3575335419826	2421	0.1509118271548875	-0.009647886634441383
C	23	360	2421	0.14869888475836432	381.2428102026404	2421	0.15747327972021494	-0.008774394961850618
C	24	374	2421	0.15448161916563405	397.103856764544	2421	0.1640247239837026	-0.009543104818068554
C	25	395	2421	0.16315572077653862	413.2541857367961	2421	0.17069565705774312	-0.007539936281204501
C	26	405	2421	0.16728624535315986	428.40019710837174	2421	0.1769517542785509	-0.009665508925391031
C	27	429	2421	0.1771995043370508	449.8924226253652	2421	0.18582917084897366	-0.008629666511922846
C	28	443	2421	0.18298223874432054	464.6209107300481	2421	0.19191280905826025	-0.008930570313939706
C	29	452	2421	0.18669971086327963	473.84339205311466	2421	0.19572217763449593	-0.009022466771216292
C	30	464	2421	0.1916563403552251	485.9032973893376	2421	0.20070355117279537	-0.009047210817570261
C	31	473	2421	0.19537381247418423	496.71561182423005	2421	0.20516960422314334	-0.009795791748959115
C	32	493	2421	0.2036348616274267	512.0943516029699	2421	0.2115218304844981	-0.007886968857071408
C	33	507	2421	0.2094175960346964	523.7426670381781	2421	0.21633319580263446	-0.006915599767938069
C	34	521	2421	0.21520033044196613	535.5450029360273	2421	0.22120817965139503	-0.0060078492094289004
C	35	534	2421	0.22057001239157373	548.9563604786604	2421	0.22674777384496506	-0.006177761453391328
C	36	547	2421	0.22593969434118133	557.9898712486046	2421	0.23047908766980776	-0.004539393328626434
C	37	559	2421	0.2308963238331268	573.0162253404192	2421	0.23668576015713308	-0.005789436324006275
C	38	570	2421	0.23543990086741015	584.1096235041795	2421	0.24126791553249874	-0.005828014665088588
C	39	576	2421	0.2379182156133829	592.80219421268	2421	0.24485840322704666	-0.006940187613663773
C	40	583	2421	0.24080958281701775	601.5228863290945	2421	0.2484605065382464	-0.007650923721228636
C	41	600	2421	0.24783147459727387	613.8537881566524	2421	0.25355381584330955	-0.005722341246035684
C	42	614	2421	0.25361420900454357	625.9913960953093	2421	0.25856728463251105	-0.004953075627967485
C	43	624	2421	0.2577447335811648	635.4335417977181	2421	0.2624673861204949	-0.00472265253933013
C	44	637	2421	0.2631144155307724	646.3106374913982	2421	0.26696019722899555	-0.0038457816982231385
C	45	650	2421	0.26848409748038	659.6711483449935	2421	0.27247878907269457	-0.003994691592314581
C	46	662	2421	0.27344072697232547	670.519788705178	2421	0.2769598466357613	-0.0035191196634358213
C	47	669	2421	0.27633209417596033	677.029682078171	2421	0.2796487740925944	-0.003316679916634091
C	48	680	2421	0.2808756712102437	690.115368144217	2421	0.2850538488823697	-0.004178177672125971
