distance_aa	sites_total	prob_neighbor_within_x	mean_other_methyl_args_within_x	sites_with_neighbor_within_x	ordered_neighbor_pairs_within_x	null_mean_prob_neighbor_within_x	null_sd_prob_neighbor_within_x	null_q025_prob_neighbor_within_x	null_q975_prob_neighbor_within_x	null_mean_other_methyl_args_within_x	null_sd_other_methyl_args_within_x	null_q025_other_methyl_args_within_x	null_q975_other_methyl_args_within_x	empirical_p_greater_prob_neighbor_within_x	empirical_p_greater_other_methyl_args_within_x	delta_prob_neighbor_within_x_vs_null	ratio_prob_neighbor_within_x_vs_null	delta_other_methyl_args_within_x_vs_null	ratio_other_methyl_args_within_x_vs_null	mean_other_modified_sites_within_x	null_mean_other_modified_sites_within_x	delta_other_modified_sites_within_x_vs_null	ratio_other_modified_sites_within_x_vs_null	ptm_group
31	12826	0.5709496335568377	1.5262747544051145	7323	19576	0.38851941369094023	0.003855336810960175	0.38170513020427255	0.3965733665990956	0.9087213472633714	0.009901223278236972	0.8899851863402464	0.9286995166068922	0.009900990099009901	0.009900990099009901	0.18243021986589747	1.4695523915595559	0.6175534071417431	1.6795850114025768	1.5262747544051145	0.9087213472633714	0.6175534071417431	1.6795850114025768	Arg methylation
32	12826	0.5739123655075627	1.559020739123655	7361	19996	0.3934087010759395	0.003976954683799104	0.3868626227974427	0.4012981443941993	0.9318509278029004	0.00988457114803812	0.9125643224699829	0.9506744113519413	0.009900990099009901	0.009900990099009901	0.18050366443162325	1.4588197056596892	0.6271698113207547	1.6730366334446682	1.559020739123655	0.9318509278029004	0.6271698113207547	1.6730366334446682	Arg methylation
33	12826	0.5773428972399813	1.5870887260252613	7405	20356	0.39844066739435513	0.003840490620038886	0.39177452050522377	0.40597614221113365	0.9551426789334165	0.010042046583243218	0.9358217682831749	0.9750233899890847	0.009900990099009901	0.009900990099009901	0.1789022298456262	1.4490059486537261	0.6319460470918448	1.6616247614414243	1.5870887260252613	0.9551426789334165	0.6319460470918448	1.6616247614414243	Arg methylation
34	12826	0.5800717292998596	1.6164041790113832	7440	20732	0.403520193357243	0.0038211181976841174	0.39708014969593014	0.4103013410260409	0.9785560580071728	0.010260391788922194	0.9588102292218931	0.9994698269140808	0.009900990099009901	0.009900990099009901	0.17655153594261663	1.4375283786264266	0.6378481210042104	1.6518258364300422	1.6164041790113832	0.9785560580071728	0.6378481210042104	1.6518258364300422	Arg methylation
35	12826	0.5828785279900203	1.6500857632933104	7476	21164	0.40820520817090283	0.0038711852537570545	0.4016801808825822	0.41503976298144396	1.0022922189302979	0.010185337075883625	0.9827186963979417	1.0230703259005145	0.009900990099009901	0.009900990099009901	0.17467331981911743	1.4279056619630075	0.6477935443630125	1.6463120556342081	1.6500857632933104	1.0022922189302979	0.6477935443630125	1.6463120556342081	Arg methylation
36	12826	0.5865429596132855	1.6779978169343521	7523	21522	0.41326290347731165	0.0038661694416004953	0.40698581007328866	0.4207566661468891	1.0250366443162326	0.01009245666725476	1.0051964759083114	1.0466981132075472	0.009900990099009901	0.009900990099009901	0.17328005613597386	1.4192973883645161	0.6529611726181195	1.6370125168097651	1.6779978169343521	1.0250366443162326	0.6529611726181195	1.6370125168097651	Arg methylation
37	12826	0.5904412911273975	1.7020115390612818	7573	21830	0.41803757991579604	0.003860079986544091	0.41158194292842665	0.4257426321534383	1.0463542803680026	0.00990864239796491	1.0257952596288789	1.068454701387806	0.009900990099009901	0.009900990099009901	0.17240371121160147	1.412411992353243	0.6556572586932792	1.6266111497748972	1.7020115390612818	1.0463542803680026	0.6556572586932792	1.6266111497748972	Arg methylation
38	12826	0.5928582566661469	1.7314829253079682	7604	22208	0.42264384843287073	0.0039530448465780205	0.4163749415250273	0.4304615624512709	1.0706206143770465	0.010078492256501035	1.0494347419304537	1.092795883361921	0.009900990099009901	0.009900990099009901	0.17021440823327616	1.4027372192081287	0.6608623109309217	1.6172703029031927	1.7314829253079682	1.0706206143770465	0.6608623109309217	1.6172703029031927	Arg methylation
39	12826	0.5962108217682832	1.7612661780757837	7647	22590	0.4273600498986434	0.003910187723679374	0.42054810541088417	0.4348647278964603	1.0947793544363014	0.010493478149280323	1.0736862622797443	1.1171799469826913	0.009900990099009901	0.009900990099009901	0.16885077186963982	1.3951019097589632	0.6664868236394823	1.6087864380513957	1.7612661780757837	1.0947793544363014	0.6664868236394823	1.6087864380513957	Arg methylation
40	12826	0.5999532200218306	1.7952596288788398	7695	23026	0.4319943864026196	0.0039278646057327405	0.42491813503820364	0.4395466240449088	1.1187681272415406	0.010823751707935217	1.095680648682364	1.1420707937002963	0.009900990099009901	0.009900990099009901	0.167958833619211	1.3887986485608472	0.6764915016372992	1.6046753435005978	1.7952596288788398	1.1187681272415406	0.6764915016372992	1.6046753435005978	Arg methylation
41	12826	0.6014345859971932	1.8234835490410104	7714	23388	0.4362630594105723	0.004061444659551491	0.4289938406362077	0.444429284266334	1.1401824419148605	0.010955542432827835	1.118103851551536	1.164521284890067	0.009900990099009901	0.009900990099009901	0.16517152658662093	1.3786053460721186	0.6833011071261499	1.599291027476788	1.8234835490410104	1.1401824419148605	0.6833011071261499	1.599291027476788	Arg methylation
42	12826	0.6039295181662249	1.8510837361609231	7746	23742	0.4409005145797599	0.003989633032537597	0.4338687041946047	0.44910338375175424	1.1637642289100265	0.011009797512420172	1.141049430843599	1.18830110712615	0.009900990099009901	0.009900990099009901	0.163029003586465	1.369763695426517	0.6873195072508966	1.5906003038902778	1.8510837361609231	1.1637642289100265	0.6873195072508966	1.5906003038902778	Arg methylation
43	12826	0.6058007172929986	1.8766567908934977	7770	24070	0.44535240916887575	0.003930677041115359	0.437778730703259	0.45362349914236705	1.1851380009355994	0.011043558503040651	1.1630828005613598	1.2104670201153906	0.009900990099009901	0.009900990099009901	0.1604483081241228	1.3602726847791262	0.6915187899578983	1.5834922088499257	1.8766567908934977	1.1851380009355994	0.6915187899578983	1.5834922088499257	Arg methylation
44	12826	0.6087634492437237	1.9044129112739747	7808	24426	0.4496686418213005	0.004019912287053401	0.4421370653360362	0.4580578512396694	1.2074832371744892	0.011041596767548824	1.1867924528301887	1.231822080149696	0.009900990099009901	0.009900990099009901	0.1590948074224232	1.353804541001656	0.6969296740994855	1.5771754444643893	1.9044129112739747	1.2074832371744892	0.6969296740994855	1.5771754444643893	Arg methylation
45	12826	0.6102448152190862	1.9282707001403399	7827	24732	0.4535381256822079	0.004087863838557177	0.4453590363324497	0.4617573678465617	1.2281225635428037	0.011406963961203607	1.2070481833775144	1.2538749415250272	0.009900990099009901	0.009900990099009901	0.15670668953687833	1.3455204329319868	0.7001481365975362	1.5700963058424697	1.9282707001403399	1.2281225635428037	0.7001481365975362	1.5700963058424697	Arg methylation
46	12826	0.6123499142367067	1.952440355527834	7854	25042	0.4574637455169187	0.004049267696173204	0.44909753625448307	0.46542764696709804	1.250943396226415	0.011564521874099048	1.2292803680024948	1.2757835646343365	0.009900990099009901	0.009900990099009901	0.154886168719788	1.338575833030816	0.7014969593014191	1.5607743415230049	1.952440355527834	1.250943396226415	0.7014969593014191	1.5607743415230049	Arg methylation
47	12826	0.6146109465148917	1.9783252767815376	7883	25374	0.4614766879775456	0.0040190129028345525	0.4534968033681584	0.46937080929362235	1.2731436145329798	0.011861763050496757	1.2532862934663964	1.2991969437080928	0.009900990099009901	0.009900990099009901	0.15313425853734608	1.331835307236142	0.7051816622485578	1.553890114358572	1.9783252767815376	1.2731436145329798	0.7051816622485578	1.553890114358572	Arg methylation
48	12826	0.6163262123811009	2.0018711991267737	7905	25676	0.4652752222048962	0.004103337265879492	0.45690589427724937	0.4729494776235771	1.2942335880243256	0.012042894406035766	1.2726960860751597	1.3202167472321846	0.009900990099009901	0.009900990099009901	0.15105099017620466	1.3246486874164243	0.707637611102448	1.5467618965002072	2.0018711991267737	1.2942335880243256	0.707637611102448	1.5467618965002072	Arg methylation
