nearest_distance_bin	second_nearest_distance_bin	observed_probability	arginine_null_probability	log2_observed_over_null
31-40	4	0.0	0.0	
31-40	5	0.0	0.0	
31-40	6	0.0	0.0	
31-40	7-8	0.0	0.0	
31-40	9-10	0.0	0.0	
31-40	11-15	0.0	0.0	
31-40	16-20	0.0	0.0	
31-40	21-30	0.0	0.0	
31-40	31-40	0.004288164665523156	0.004819273351005771	-0.1684553272577003
31-40	41-60	0.008342429440199594	0.012966474348978633	-0.6362467723759563
31-40	61-80	0.0032745984718540464	0.006934352097302353	-1.0824430767980229
31-40	81-100	0.0020271323873382193	0.0045672852019335705	-1.1718965699635493
31-40	>100/none	0.013176360517698426	0.022775923904568847	-0.7895576438698829
41-60	1	0.0	0.0	
41-60	2	0.0	0.0	
41-60	3	0.0	0.0	
41-60	4	0.0	0.0	
41-60	5	0.0	0.0	
41-60	6	0.0	0.0	
41-60	7-8	0.0	0.0	
41-60	9-10	0.0	0.0	
41-60	11-15	0.0	0.0	
41-60	16-20	0.0	0.0	
41-60	21-30	0.0	0.0	
41-60	31-40	0.0	0.0	
41-60	41-60	0.00881022922189303	0.011983471074380164	-0.4437943923882211
41-60	61-80	0.007328863246530485	0.014144394199282694	-0.9485690381901772
41-60	81-100	0.003430531732418525	0.00907531576485265	-1.4035156293836253
41-60	>100/none	0.020973023545922346	0.0429421487603306	-1.0338595227923697
61-80	1	0.0	0.0	
61-80	2	0.0	0.0	
61-80	3	0.0	0.0	
61-80	4	0.0	0.0	
61-80	5	0.0	0.0	
61-80	6	0.0	0.0	
61-80	7-8	0.0	0.0	
61-80	9-10	0.0	0.0	
61-80	11-15	0.0	0.0	
61-80	16-20	0.0	0.0	
61-80	21-30	0.0	0.0	
61-80	31-40	0.0	0.0	
