occupancy_k	distance_aa	sites_with_at_least_k_neighbors	sites_total	observed_fraction	null_mean_fraction	null_q025_fraction	null_q975_fraction	empirical_p_greater	log2_observed_over_null	delta_fraction_vs_null	q_value
6	2	0	12826	0.0	0.0	0.0	0.0	1.0		0.0	1.0
6	3	0	12826	0.0	0.0	0.0	0.0	1.0		0.0	1.0
6	4	0	12826	0.0	0.0	0.0	0.0	1.0		0.0	1.0
6	5	0	12826	0.0	0.0	0.0	0.0	1.0		0.0	1.0
6	6	0	12826	0.0	3.149851863402464e-05	0.0	7.79666302822392e-05	1.0		-3.149851863402464e-05	1.0
6	8	3	12826	0.0002338998908467176	0.00026914080773428973	0.0	0.0005457664119756744	0.7051792828685259	-0.20246996379571186	-3.524091688757213e-05	1.0
6	10	23	12826	0.0017932324964915016	0.0009090909090909091	0.0004677997816934352	0.0014033993450803055	0.00796812749003984	0.9800660726312411	0.0008841415874005925	0.012851818532322324
6	15	168	12826	0.013098393887416186	0.00403586464992983	0.0026684079214096368	0.005440121627943241	0.00398406374501992	1.6984402237527703	0.009062529237486357	0.00649575610601074
6	20	386	12826	0.03009511928894433	0.00929175113051614	0.007406829876812724	0.011365585529393419	0.00398406374501992	1.6955071164512963	0.02080336815842819	0.00649575610601074
6	30	822	12826	0.06408857009200063	0.022013722126929675	0.01937080929362233	0.024637455169187587	0.00398406374501992	1.5416639818202722	0.04207484796507095	0.00649575610601074
6	40	1165	12826	0.09083112427880867	0.03557274286605333	0.032295727428660534	0.03882738188055512	0.00398406374501992	1.3524145185837146	0.05525838141275534	0.00649575610601074
