entrez_id	gene_symbol	is_methylarginine_protein	contributing_term_count	contributing_term_ids	contributing_term_names
4282	MIF	True	1	C0002736	Amyotrophic Lateral Sclerosis
4284	MIP	False	1	C0002736	Amyotrophic Lateral Sclerosis
407975	MIR17HG	False	1	C0002736	Amyotrophic Lateral Sclerosis
23209	MLC1	False	1	C0002736	Amyotrophic Lateral Sclerosis
197259	MLKL	False	1	C4024896	Motor neuron atrophy
4323	MMP14	False	1	C0002736	Amyotrophic Lateral Sclerosis
4313	MMP2	False	1	C0338451	Frontotemporal dementia
79148	MMP28	False	1	C0002736	Amyotrophic Lateral Sclerosis
4316	MMP7	False	1	C0002736	Amyotrophic Lateral Sclerosis
4318	MMP9	False	3	C0002736;C0338451;C1862941	Amyotrophic Lateral Sclerosis;Frontotemporal dementia;Amyotrophic Lateral Sclerosis, Sporadic
4331	MNAT1	False	1	C0085084	Motor Neuron Disease
3110	MNX1	True	1	C0002736	Amyotrophic Lateral Sclerosis
64112	MOAP1	True	1	C1833662	INCLUSION BODY MYOPATHY WITH EARLY-ONSET PAGET DISEASE AND FRONTOTEMPORAL DEMENTIA
79817	MOB3B	False	1	C0002736	Amyotrophic Lateral Sclerosis
4336	MOBP	False	8	C0002736;C0393554;C0543859;C1842675;C1862939;C1862941;C3542025;C4011788	Amyotrophic Lateral Sclerosis;Amyotrophic Lateral Sclerosis With Dementia;Amyotrophic Lateral Sclerosis, Guam Form;AMYOTROPHIC LATERAL SCLEROSIS 6 (disorder);AMYOTROPHIC LATERAL SCLEROSIS 1;Amyotrophic Lateral Sclerosis, Sporadic;AMYOTROPHIC LATERAL SCLEROSIS 1, AUTOSOMAL RECESSIVE;Behavioral variant of frontotemporal dementia
5891	MOK	False	1	C0002736	Amyotrophic Lateral Sclerosis
4359	MPZ	False	1	C0002736	Amyotrophic Lateral Sclerosis
4360	MRC1	False	1	C0002736	Amyotrophic Lateral Sclerosis
51149	MRNIP	True	1	C4225326	FRONTOTEMPORAL DEMENTIA AND/OR AMYOTROPHIC LATERAL SCLEROSIS 3
3396	MRPL58	True	1	C4522181	Brachial Amyotrophic Diplegia
10884	MRPS30	True	1	C0002736	Amyotrophic Lateral Sclerosis
9242	MSC	False	1	C0002736	Amyotrophic Lateral Sclerosis
4477	MSMB	False	5	C0002736;C0338451;C0751072;C3811918;C4551993	Amyotrophic Lateral Sclerosis;Frontotemporal dementia;Frontotemporal Lobar Degeneration;GRN-related frontotemporal dementia;Amyotrophic Lateral Sclerosis, Familial
4485	MST1	False	3	C0002736;C4551951;C4551993	Amyotrophic Lateral Sclerosis;Inclusion Body Myopathy with Early-Onset Paget Disease with or without Frontotemporal Dementia 1;Amyotrophic Lateral Sclerosis, Familial
4486	MST1R	False	1	C4551951	Inclusion Body Myopathy with Early-Onset Paget Disease with or without Frontotemporal Dementia 1
2660	MSTN	False	1	C0002736	Amyotrophic Lateral Sclerosis
4508	MT-ATP6	False	1	C0002736	Amyotrophic Lateral Sclerosis
4512	MT-CO1	False	1	C0085084	Motor Neuron Disease
4513	MT-CO2	True	1	C0002736	Amyotrophic Lateral Sclerosis
4535	MT-ND1	False	1	C0338451	Frontotemporal dementia
4540	MT-ND5	True	1	C0002736	Amyotrophic Lateral Sclerosis
4489	MT1A	False	3	C0002736;C1862939;C1862941	Amyotrophic Lateral Sclerosis;AMYOTROPHIC LATERAL SCLEROSIS 1;Amyotrophic Lateral Sclerosis, Sporadic
4490	MT1B	False	2	C0002736;C1862939	Amyotrophic Lateral Sclerosis;AMYOTROPHIC LATERAL SCLEROSIS 1
4493	MT1E	False	2	C1862939;C1862941	AMYOTROPHIC LATERAL SCLEROSIS 1;Amyotrophic Lateral Sclerosis, Sporadic
4494	MT1F	False	1	C1862939	AMYOTROPHIC LATERAL SCLEROSIS 1
4495	MT1G	False	1	C1862939	AMYOTROPHIC LATERAL SCLEROSIS 1
4496	MT1H	False	1	C1862939	AMYOTROPHIC LATERAL SCLEROSIS 1
4500	MT1L	False	1	C1862939	AMYOTROPHIC LATERAL SCLEROSIS 1
4499	MT1M	False	1	C1862939	AMYOTROPHIC LATERAL SCLEROSIS 1
4501	MT1X	False	1	C1862939	AMYOTROPHIC LATERAL SCLEROSIS 1
4502	MT2A	False	1	C1862939	AMYOTROPHIC LATERAL SCLEROSIS 1
4504	MT3	False	1	C0085084	Motor Neuron Disease
92140	MTDH	True	1	C0002736	Amyotrophic Lateral Sclerosis
4524	MTHFR	False	3	C0002736;C1862941;C4024896	Amyotrophic Lateral Sclerosis;Amyotrophic Lateral Sclerosis, Sporadic;Motor neuron atrophy
64779	MTHFSD	False	1	C0002736	Amyotrophic Lateral Sclerosis
4543	MTNR1A	False	1	C1862939	AMYOTROPHIC LATERAL SCLEROSIS 1
4544	MTNR1B	False	1	C1862939	AMYOTROPHIC LATERAL SCLEROSIS 1
2475	MTOR	True	1	C0002736	Amyotrophic Lateral Sclerosis
55149	MTPAP	False	1	C0002736	Amyotrophic Lateral Sclerosis
4593	MUSK	False	1	C0002736	Amyotrophic Lateral Sclerosis
4608	MYBPH	False	1	C0002736	Amyotrophic Lateral Sclerosis
4609	MYC	False	1	C0002736	Amyotrophic Lateral Sclerosis
22989	MYH15	False	1	C0002736	Amyotrophic Lateral Sclerosis
4624	MYH6	False	1	C0002736	Amyotrophic Lateral Sclerosis
4625	MYH7	False	1	C4082299	Bulbar palsy
4627	MYH9	True	1	C0002736	Amyotrophic Lateral Sclerosis
4646	MYO6	False	1	C0002736	Amyotrophic Lateral Sclerosis
4649	MYO9A	True	1	C4082299	Bulbar palsy
4654	MYOD1	False	1	C0002736	Amyotrophic Lateral Sclerosis
4656	MYOG	False	1	C4024896	Motor neuron atrophy
